torch_name,onnx_name
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear2.weight,onnx::MatMul_9784
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear2.bias,b1.a119.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm1.weight,b1.a131.weight
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm1.bias,b1.a131.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm2.weight,b1.a132.weight
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm2.bias,b1.a132.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_9800
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a133.fc1.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_9801
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a133.fc2.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_9798
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_9794
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a129.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_9799
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a130.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm1.weight,b1.a139.weight
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm1.bias,b1.a139.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm2.weight,b1.a140.weight
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm2.bias,b1.a140.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9907
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a141.fc1.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear2.weight,onnx::MatMul_9908
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear2.bias,b1.a141.fc2.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.earth_specific_bias,onnx::Add_9905
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear1.weight,onnx::MatMul_9901
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear1.bias,b1.a137.bias
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear2.weight,onnx::MatMul_9906
backbone.layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear2.bias,b1.a138.bias
backbone.downsample.linear.weight,onnx::MatMul_9066
backbone.downsample.norm.weight,b1.a26.weight
